fuli,gaikuang,gsname,hangye,jinyan,job_name,renshu,xingzhi,xinxi,xinzi,xueli
"年终奖金,绩效奖金,通讯补贴,七险一金,交通补贴,专业培训,定期体检,周末双休,带薪年假,节日福利","中国联合网络通信有限公司深圳市分公司（以下简称深圳联通），于2009年初由中国联通有限公司深圳分公司、中国网络通信集团公司深圳市分公司合并而成，是中国联合网络通信有限公司设立在深圳的分支机构，隶属于中国联合网络通信有限公司广东省分公司管理。,合并重组后的深圳联通，全力打造“新联通、新网络、新服务”的企业形象，整体规模和实力大幅提升。公司主要经营移动通信业务，国内、国际固定电话网络与设施（含本地无线环路），语音、数据、图像及多媒体通信与信息服务，电信增值业务，IP电话业务等国家批准的其它业务，以及与通信及信息业务相关的系统集成等业务。深圳联通积极发挥企业融合后带来的资源优势，通过两张完全独立的光传输网络，全方位满足综合通信和信息服务需求，提供面向高技术及先进制造、现代金融、现代物流、文化产业的全业务通信解决方案和应用方案，提供固网数据传输、无线电子交易平台等综合通信服务。,深圳联通基于技术最成熟、全球应用***泛、手机终端最丰富的WCDMA-3G和LTE-4G网络，架起全新沟通平台，为客户提供精彩、高效的数字化信息生活，为客户创造前所未有的信息生活新体验。公司拥有全新的全业务品牌“沃”,“沃”品牌以3G业务为核心，以建设完善现有移动通信网络及3G网络为着眼点，利用均衡的固定和移动网络资源，积极推进网络宽带化，旨在为广大用户提供全方位宽带通信和综合信息服务。同时，深圳联通积极配合深圳市政府推进两化融合和三网融合工作，助力深圳创建***创新城市和“智慧深圳”建设，为地方经济发展和城市现代化建设做出更大的贡献。,公司已经建立了科学健全的人力资源管理体系和成熟灵活的人力资源激励机制，为员工提供多通道的职业发展路径、规范全面的培训培养计划、富有竞争力的薪酬待遇以及丰富多彩的企业文化活动，实现员工与企业共同发展。热烈欢迎社会优秀人才加盟深圳联通!",中国联合网络通信有限公司深圳市分公司,"通信/电信/网络设备,通信/电信运营、增值服务",1年经验,数据分析,1000-5000人,国企,,1-1.5万/月,本科
none,"四川浪涛涛信息技术有限公司,2017年12月14日成立，经营范围包括计算机信息技术开发、技术咨询、技术转让、技术推广；支付结算和清算系统的技术开发；货币专用设备的销售、租赁及技术服务；增值电信业务经营（未取得相关行政许可（审批），不得开展经营活动）；企业管理咨询；商务信息咨询（不含投资咨询）；企业营销策划；销售： 计算机软硬件及辅助设备、电子产品、机械设备、五金产品、办公用品、家具；货物进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。",四川浪涛涛信息技术有限公司,通信/电信运营、增值服务,1年经验,金融数据分析（定期涨薪+补助）,50-150人,民营公司,"岗位职责：,1、负责贷后催收运营数据的收集、整理和分析；,2、参与贷后催收相关项目的推进，为项目提供基础数据，并能独立进行相关数据的分析，根据分析结果，提出问题点及解决方向；,3、负责项目及日常运营相关报表的开发及维护；,4、了解运营成本分的拆分及计算,5、负责日常运营费用预算模型的建立,任职要求：,1,本科及以上学历，数学、统计、计算机等理工类专业优先,2,熟练使用,、,、,等工具进行数据处理和分析,3,有一定数据建模能力，善于从数据中挖掘问题,4,在银行、互联网金融公司有催收数据及业务分析经验者优先,5,有较强的逻辑分析能力和数据敏感性，工作严谨，认真负责,6,具有创新意识，具有较强的沟通协调能力和团队合作能力,7,能承受一定的工作压力，渴望在快节奏的创业公司提升自己，创造价值,福利待遇：,8小时工作，月休8天，五险一金，茶歇室，团建，奖金，年假等等，待遇面谈。,职能类别：,关键字：",6-8千/月,本科
"做五休二,周末双休,带薪年假,五险一金,绩效奖金,专业培训","上海联城房地产评估咨询有限公司，是一家以新兴大数据和传统应用相结合为起点，以数据驱动、技术融合、模式创新为方向，以“新估价”为核心使命，围绕房地产全生命周期，为客户提供全面、高效、系统解决方案的房地产专业咨询机构。,目前公司拥有房地产估价一级资质、土地估价执业资格等多项相关领域的专业资格认证。业务范围包括：专业估价、咨询研究、金融服务以及利用大数据及信息化手段衍生的各类专业类系统以及创新类数据产品的新服务。",上海联城房地产评估咨询有限公司,"专业服务(咨询、人力资源、财会),房地产",8-9年经验,房地产市场/数据分析师,50-150人,民营公司,"岗位职责：,1,0负责研究房地产市场发展趋势、房地产市场动态，能够独立撰写研究报告；,2,0根据公司要求，参与各行业协会合作相关课题研究，在各类专业期刊上发表相关论文；,0,3,0保持市场敏锐度，分析和研究最新产品动态，并撰写产品研究报告；,4,0根据项目及业务需求，积极配合市场和销售，探索客户需求，完成相关产品；,5,0代表公司或项目，可在相关研讨会及沙龙上进行演讲，接受媒体采访；,0,任职资格：,1,知名大学毕业或在读，硕士及以上学历；,2、从事经济、房地产等领域相关工作8年以上；,2,0熟悉房地产行业相关法律、法规；,3,0对数字敏感，有较强的逻辑思维能力、分析能力；,4,0有很强的语言表达能力、沟通能力、擅长于媒体沟通；,5,0熟练使用计算机,0,0、,0,0、,0,0等办公软件；,6,0有较强的团队管理能力，具备团队合作精神、适应能力、抗压力。,职能类别：,关键字：",1.5-2.5万/月,本科
none,成都固舟信息技术咨询有限公司作为国内的新锐资本机构，现已成为同行业中的佼佼者。公司坐拥于成都，总部位于北京，在昆明、淄博、内蒙等地开设分公司，具有丰富的投资研究和资产管理经验，历经多次牛市、熊市的考验，投资业绩持续表现优异。公司建立了完善的风险控制体系，独立评估投资风险，全面监控投资流程。公司建立了独立的投资研究体系，充分发挥团队的合力，实现研究、投资、交易三者的有机结合。公司与银行、证券、信托等机构建立了良好的合作关系，共享丰富的资源。成都固舟信息技术咨询有限公司的主要目标是：及时、准确的把握经济跃动的脉搏，为投资者提供可靠的投资平台，全面、周到地为客户提供优质的投资服务。,成都固舟信息技术咨询有限公司,金融/投资/证券,1年经验,数据分析专员+双休+社保,50-150人,民营公司,"2、严格执行公司的规章制度，完成团队各项工作指标。,3、时刻关注市场走势，及时对市场变化进行数据分析。,4、分析行情，整理出每日数据，工作时间灵活自由。,5、对技术面进行分析研究，给出行情走势分析和判断,任职要求：,1、具有良好的道德品质，高度责任心。,2、具有自信、冷静、理智、果断、坚决、胆识等各项品质。,3、喜欢数据分析、心理承受能力强、团队合作精神强。,4、有团队精神，能服从公司各项管理要求。,薪资福利：,1、底薪5,12,（看个人能力）,全勤奖,盈利分红,3、朝九晚6，双休，国家法定节假日正常休息,4、公司会举行不定期组织团建、聚餐、,歌、旅游等，让工作之余生活丰富多彩,5、带薪病假、婚假、产假、陪产假，,6、完善的岗前培训,在职培训,晋升培训,管理培训,1、对各项数据进行采集、统计、并完成专业分析。,职能类别：",6-8千/月,大专
"五险一金,员工旅游,专业培训,弹性工作,股票期权,通讯补贴,餐饮补贴,年终奖金,绩效奖金,交通补贴","“杭州第意户外用品设计股份有限公司（证券代码：872550）”是一家致力于为全球户外爱好者提供专业装备的创新型公司，旗下有：美国“U.S.A. THE FIRST OUTDOOR INC.”“拉萨经济技术开发区美第意户外用品有限公司”“杭州第意户外用品设计股份有限公司广州分公司“等3家公司。在广州、杭州、拉萨、美国分别设立办公室，目前拥有多项发明专利和实用新型发明专利。,  核心品牌：TFO ，源于1999年，由美国加州专业户外爱好者创建，持续支持多个国际户外赛事：是“法国MAXI-Race系列赛事”“RIC全球商学院精英挑战赛”的装备指定品牌。2018年4月携手知名导演陈庆港拍摄攀登珠峰的纪录片《最高处》，并于5月16日成功登顶珠穆朗玛峰，成为登顶珠峰指定品牌！同时在中国连续2年荣获中国户外产业”年度评选***户外装备“奖；    TFO大型户外广告2018年登陆美国时代广场、携手全美超模冠军India gants现身加州coachelle音乐节、马拉西亚国家旅游局：精彩沙捞越活动、并与“南方卫视-潮流假期”达成战略合作。,多年持续支持公益活动，携手中央电视台CCTV发现之旅：华夏寻根溯源之旅；联合《汽车与运动杂志》举办“保护野生东北虎，我们在行动---2018巡山清套公益活动”、”“跟着大雁去迁徙之守护候鸟迁徙路”。,【产品、渠道】,涵盖户外服饰、鞋、背包、配件等全品类产品；以登峰标准，为广大户外爱好者提供时尚、舒适的户外产品。销售渠道：遍布美国、欧洲、日本；中国线下商场代表专柜：北京燕莎奥特莱斯、杭州解放百货、杭州银泰、昆明财富广场等等；线上渠道：唯品会，京东，天猫，苏宁，亚马逊、当当，搜： ”TFO“，均有公司直营旗舰店。,【公司福利】,户外运动、旅游：是国家重点扶持行业，近几年成爆发性增长，行业处于朝阳阶段。真诚邀请各项专业人才携手共创美好未来！,公司福利：养老，医疗，生育，工伤，失业五险社保、商业保险、带薪年假、年终奖、研发人员体验假、通讯补贴、餐费补贴、高温补贴、带薪培训、集体旅游、团建费、免费参加公司羽毛球篮球徒步等专业户外俱乐部、团队拓展、生日会、长期服务奖等。公司团队年轻，充满活力，团队氛围好，公司已经成功在新三板挂牌“杭州第意户外用品设计股份有限公司（证券代码：872550）”将为有能力的人员提供良好的发展平台、股权激励与晋升机会！,公司官网：www.usatfo.com,以下是部分网上店铺的产品展示：,TFO天猫旗舰店：https://tfohw.tmall.com/,TFO京东旗舰店：https://mall.jd.com/index-191319.html,TFO唯品会旗舰店：https://list.vip.com/3502989.html,公司地址：广州白云区金沙洲沙凤商业大厦9068（地铁6号线沙贝A1出口对面，金沙大酒店楼上）,乘车路线：乘坐12、30、276、42、55、高峰25、高峰30、高峰9路、佛276、佛231、夜16路公共汽车至“金沙洲大桥西”下车，或坐653、789路到 “沙贝地铁总站”，找到“万户来家居大楼”隔壁就到。 （乘车还可查询广州交通信息网： www.gzci.com.cn或拨打咨询热线96900）",杭州第意户外用品设计股份有限公司广州分公司,"互联网/电子商务,批发/零售",1年经验,数据分析师,50-150人,上市公司,"1、挖掘行业、竞品数据，建立分析模型，综合数据变化，及时提供运营数据支持,2、根据行业单品属性数据分析，研究市场需求和市场份额，提供开发数据建议,3、挖掘评价、聊天记录，分析市场客户需求，建立客户档案库,4、建立店铺数据分析模型，制定月度运营目标，及时提供活动数据支持,5、配合天猫，京东，唯品会等渠道运营，,0,提供销售数据支持,岗位要求：,学历要求：大专,0,0,0,0,0,0,工作经验年限要求：,1年以上,办公技能要求：函数熟练,专业软件技能要求：,，,、,参与过的培训课程或取得的证书,能力素质要求：逻辑强，沟通表达能力、协调能力好，积极主动，有团队精神与责任感,在电商鞋服行业做过数据分析与运营岗位尤佳。,0,0,职能类别：,关键字：",6-8千/月,大专
"五险一金,补充医疗保险,员工旅游,周末双休,年底双薪,节日福利,年度体检,餐饮补贴","    微屏软件科技（上海）有限公司是国内最领先的互联网棋牌游戏公司，总部位于上海，在全国十余重要城市设有子公司、分公司和办事处。作为国内最早的一批互联网游戏公司，历经十年的业务发展，目前已从当初的十余人的小团队发展成为了上百人的成熟企业，产品主要以网络休闲棋牌游戏平台为主，其产品覆盖了PC客户端、WEB页游端、移动端和智能电视端。并与各大游戏发行渠道、厂商渠道和广告渠道建立了深入的合作关系，游戏客户端平台在东北、华南、华东和中原的十余个省市成功落地，并发展成为了当地耳熟能详的游戏平台。其在移动互联网端运营的掌心游棋牌游戏系列，更成为国内最首屈一指的手机棋牌游戏品牌。,     ,    微屏软件科技（上海）有限公司内部体制健全，严谨而不失活泼，注重员工的培训和梯队建设，公司工作室制运转，独立考核，鼓励员工的创新和创业。我们提供了良好的工作环境和福利体制，让真正的人才能在公司得到充分发挥。,    2014年，微屏软件科技（上海）有限公司迎来了新的重大机遇，以5.2亿的估值吸引《人民日报》旗下上市公司人民网成为其股东。借此发展良机，公司将全面提升产品和市场渠道，牢牢抓住移动互联网的发展脉搏，为全国游戏玩家打造更优秀的多终端跨平台的游戏产品！,简历请投递：719007185@qq.com",微屏软件科技（上海）有限公司,网络游戏,2年经验,运营数据分析,150-500人,民营公司,"1、负责游戏日常数据监控、预警和分析工作，对产品调优、产品运营提供有力数据支持；,2、针对竞品，新功能，新活动的效果，进行数据分析，并提炼为产品需求；,3、根据公司产品运营需求，对现有数据平台进行整理完善，定期完成日、周、月数据报表；,4、游戏活动以及功能分析，输出数据分析报告，为运营策略提供数据支撑和有效建议；,5、主导和协同数据挖掘和用户调研，进行更深入的数据和用户研究；,职位要求,1、本科及以上学历，拥有1年以上游戏行业经验；,2、数据逻辑清晰、数据敏感度高，计算机、数学、统计学专业优先考虑；,3、熟练使用,语句，熟练掌握,；,4、执行力强，高效，细心，能承担压力；,5、具有良好的沟通、表达能力及团队协作精神；,6、该岗位主要以运营，产品、商务为主，急需综合性人才；,7、热爱游戏、需要对于手游或者棋牌类游戏的研发以及运营流程有所了解；,职能类别：,关键字：",0.8-1万/月,本科
"周末双休,五险一金,高温补贴",上海运邦信息科技有限公司成立于2003年，致力于电力系统自动化研发、销售、运维；配电自动化检测、分析、运维；电力数据服务等业务。公司被评为高新技术企业。,上海运邦信息科技有限公司,"仪器仪表/工业自动化,电气/电力/水利",无需经验,数据分析专员兼办公室文员,少于50人,民营公司,"1：电网数据分析整理及报送；,2：部门日常事务处理；,3：其他工作。,要求：,1：电力、计算机、通信等专业优先；,2：形象气质佳。,职能类别：,关键字：",6-10万/年,大专
"五险一金,员工旅游,交通补贴,餐饮补贴,通讯补贴,专业培训,年终奖金,绩效奖金","    陕西德通信息科技有限公司位于西安市科技路，是一家致力于应用软件开发、系统集成、计算机系统工程、网络技术集成及开发服务的高科技公司。公司一直坚持走行业化发展的道路，根据不同客户的需求，本着量身定制的服务宗旨，切实为客户提供更实用、更先进的解决方案和贴心的服务，***限度帮助客户优化内部管理，提升竞争力，努力使每一个客户成为终身客户。,德通科技长期立足电力、石油、水利、教育、政府、公安等重点行业的信息化建设，所做出的努力和成绩不仅得到了用户的认可，取得了良好的社会效益。公司已获得了高新技术企业、陕西省认定的软件企业、通过了iso9001：2008国际质量管理体系认证并拥有多项独立知识产权。主要客户是***及各省、市级的电力、发电及水利等企业，目前已经在多家省级、地市电力公司成功实施了多项大型项目，并赢得客户的广泛好评。,公司地址：西安市科技一路40号 盛方科技园,邮编：710075,电话：029-84502768,网址：www.sxdet.com",陕西德通信息科技有限公司,"计算机软件,计算机服务(系统、数据服务、维修)",3-4年经验,大数据分析工程师,50-150人,民营公司,"运监运维项目支撑，主要利用大数据分析手段对相关数据进行分析，通过分析创新，能够准确反映数据潜在价值，并形成监测成果汇报材料,技能技巧要求：,1有大数据分析经验，能按照要求提交数据分析监测成果报告，有电力业务与地方经济、政府服务、环境等关联分析经验优先；,2,有一定数据分析创新能力，突破常规的监测方法，利用数据挖掘数据潜在价值；,3,具备较强沟通能力和文档编写能力，逻辑思维清晰。,职能类别：",4.5-7千/月,本科
"餐饮补贴,节日福利,五险一金,通讯补贴,专业培训,绩效奖金,年终奖金","长江时代通信公司于1998年在北京创立。2010年1月，长江时代通信股份有限公司作为全国运营管理总部在上海成立，注册资金23000万元。经过17年的迅猛发展，目前公司业务范围涉及移动互联网、产业物联网、宽带无线专网等领域。,作为上海地区***一家民营移动通信虚拟运营商。我们致力于以移动互联网与产业互联网融合为基础的中小企业数字化平台建设和运营，推动包括移动办公、移动金融等多个创新ICT融合应用，为企业创新发展提供跨行业融合服务与支撑。长江时代“数字企业平台”自面世以来，受到了广大企业的喜爱，预计五年内，平台将为百万家企业（千万用户）提供移动信息化、大数据征信和创新金融服务。,作为行业综合信息服务商，我们致力于以宽带无线通信专用网络为基础的航运信息化平台与服务系统建设和运营，与长江航运中的多方参与者携手合作，共同打造长江及长三角地区航运信息产业生态链，促进长江全流域信息共享与交换，为行业用户提供综合信息服务。,同时，公司还联合各方优势资源在东盟10国建设和运营基础通信网络和数字电视网络，在柬埔寨、缅甸的基础网络投资已累计超过3亿美金，已铺设光纤网络累计超过11000公里；在柬埔寨投资的新盟通信传媒，也已成为当地宽带网络和多媒体服务的优质供应商。,长江时代秉承“创新、诚信、坚毅、智慧“的企业精神，以产品和服务为核心，以打造和行业信息化通信专家为目标，立足行业应用，整合通信资源，努力成为企业与行业移动信息化服务的领先者！,联系电话021-50279555",长江时代通信股份有限公司,"通信/电信运营、增值服务,通信/电信/网络设备",3-4年经验,数据分析专员,50-150人,民营公司,"1、熟练操作,、,等办公软件、熟练掌握,各种函数使用；,2、大专及以上学历，有1,2年数据整理分析相关专业经验；,3、熟悉仓储库存管理流程，掌握进销存管理基本知识；,4、思维灵活、主动性强；良好的沟通、分析能力及团队合作精神，工作认真，责任心强。,职能类别：,关键字：",4.5-6千/月,中专
"带薪年假,五险一金,绩效奖金,全勤奖,节日福利,加班补贴,餐饮补贴,带薪病假,发展空间大,团队氛围好","我们是广州市婴格恩贸易有限公司，我们想说：,【不一样的我们】,——婴格恩是一家主营时尚孕装产品的服装电商公司，目前拥有精英团队约400人，组织架构完善。,——核心品牌“米度丽”，2017-2019连续3年蝉联天猫孕装品牌榜销量冠军，是天猫、京东等各大电商平台的SKA商家，TOP品牌。,【不一样的企业文化】,——企业愿景：孕装因我而不同,——企业使命：品质树行业标准，时尚立孕装标杆,——企业价值观：客户***、诚信、利她、应对、创新、担当,【不一样的荣耀】,——米度丽荣获天猫金婴奖“年度风尚引领品牌”（2019年4月）,——米度丽荣获天猫“最具发展潜力品牌大奖”（2018年5月）,——米度丽荣获天猫“速度与激情大奖”（2018年3月）,——米度丽荣获天猫“金麦品质大奖”（2017年9月）,【不一样的邀请理由】,——我们的薪酬待遇，远远超出同行，只要你尽情发挥你的小宇宙！,——我们对员工福利的标准是“人无我有，猝不及防”！福利活动不重样，社保、年终奖、团建活动、生日礼金之类这些已经说累了；日常饮品自助畅饮不停歇，中式养生茶、花草茶，西式星巴克咖啡随你freestyle；我们还有独特的家书关怀、老人关爱礼金、六一带薪陪伴日、新人入职挑战礼包……,——我们的团队伙伴成长速度快，团队很多伙伴通过团队各个大咖的帮助，完成了蜕变。从运营助理到天猫店长，从职能专员到职能主管.....我们期待你的职场蜕变故事华丽登场。,【不一样的晋升】,只要你有能力，实现员工的自我成长，我们从来都是认真的！曾经有伙伴，入职不到半年就实现了晋升两级，,——运营助理→运营专员→运营主管→运营经理,——客服专员→客服组长→客服主管→客服经理,——职能专员→职能组长→职能主管→职能经理,【不一样的日常生活】,——学习氛围是浓厚的，技能培训、图书角、不定期组织对外付费培训随时触发，祝你早日成为行业大咖；,——工作后的闲暇时光是丰富的，花样主题活动不定期掉落，球类比赛、主题轰趴、上门美甲....我们的活动创意等待你来开发！,——出行交通是非常便利的。公司坐落在嘉禾望岗地铁站附近，乘坐地铁2号线、3号线、14号线，出地铁步行5分钟即可抵达。,【一样的梦想】,作为一名不断突破的电商人，我们崇尚高效的工作态度，也希望能彼此成就，共同成长！同时，对于员工反馈的问题我们不回避、及时处理，提升员工的满意度是我们长期以来追求的目标！,如果我们能达成共识，那么，请加入我们！未来让我们一起在婴格恩蜕变，一起high！一起燃！一起做建立行业标杆的人！,更多资讯，请微信搜索婴格恩的公众号：婴格恩 in love 点击关注",广州市婴格恩贸易有限公司,"互联网/电子商务,服装/纺织/皮革",3-4年经验,商品专员/数据分析专员（服装）,150-500人,民营公司,"岗位职责：,薪资待遇：基本薪资,绩效奖金,全勤奖,年终奖,员工福利：,1、健全的年假、社保、商业保险等员工保障体系；,2、竞争力的薪酬，优秀员工每年至少加薪一次，只要有付出就有收获；,3、每月开生日,，不定期组织娱乐活动、体育活动，旅游活动；,4、提供双晋升通道，员工可向专业技术或管理方向发展，定期评选优秀员工奖、优秀干部奖；,5、公司专设茶艺室、休闲区，配备游戏机、桌球、按摩椅、电视机、棋牌类等娱乐设备及活动物品；,6、生日礼金及礼品、员工长辈长寿金、春节大礼包、六一假期及礼金等，让您感受大家庭式的温馨,母婴行业领导品牌，期待您的加入,1、根据商品生命周期，做畅滞销分析，给出相应的补货或者促销建议；,2、跟踪在途订单，关注所负责货款的动销情况，及时翻单，保证货品正常销售；,3、生产货期跟进，保证货品如期回货；,4、负责商品数据分析（日常报表、月度或季度商品销售结构分析等）。,任职资格：,1、有2年以上商品专员工作经验，，对商品生命周期和库存管控有一定见解；,2、对数据敏感，具备良好的数据分析能力。,3、全日制大专学历；,职能类别：,关键字：",7-9千/月,大专
