公交线路,站点
北京328路公交车路线 龙泉驾校—和平东桥,"龙泉驾校,冷泉村,亮甲店西站,亮甲店,回民公墓,西北旺,百望山森林公园,百旺家苑,马连洼西站,马连洼,菊园,菊园东站,上地三街西口,上地三街东口,上地桥东,清河大楼,清河小营桥西,清河小营桥南,马甸桥东,安华桥西,安贞桥西,安贞桥东,和平西桥,和平东桥"
北京1路公交车路线 老山公交场站—四惠枢纽站,"老山公交场站,老山南路东口,地铁八宝山站,八宝山,玉泉路口西,永定路口东,五棵松桥西,沙沟路口西,东翠路口,万寿路口西,翠微路口,公主坟,军事博物馆,木樨地西,工会大楼,南礼士路,复兴门内,西单路口东,天安门西,天安门东,东单路口西,北京站口东,日坛路,永安里路口西,大北窑西,大北窑东,郎家园,四惠枢纽站"
北京2路公交车路线 双庙—宽街路口南,"双庙,双庙北,地铁宋家庄站,宋家庄,顺四条,刘家窑桥东,刘家窑桥西,赵公口桥西,木樨园桥东,木樨园桥北,沙子口,永定门内,先农坛,天坛西门,天桥,珠市口南,大栅栏,前门,天安门广场东,天安门东,南河沿,东华门,北京妇产医院,沙滩路口南,亮果厂,宽街路口南"
北京3路公交车路线 东直门枢纽站—金家村桥东,"东直门枢纽站,东外斜街,新源里,塔园村,幸福三村,工人体育场,工人体育馆,东四十条桥东,东四十条桥西,东四十条,张自忠路,宽街路口东,锣鼓巷,地安门东,北海北门,东官房,厂桥路口东,平安里路口南,大红罗厂西口,西四路口西,白塔寺,阜成门内,南礼士路北口,月坛公园,北京儿童医院西门,礼士路南口,真武庙,西便门外,天宁寺桥北,白云桥西,小马厂,北京西站,莲花小区,金家村桥东"
北京5路公交车路线 菜户营桥—北土城公交场站,"菜户营桥,菜户营桥东,大观园西,菜户营桥北,白纸坊桥北,椿树馆街,广安门南,广安门内,牛街路口西,菜市口西,果子巷,虎坊桥路口东,万明路,板章路,前门,天安门广场东,天安门西,中山公园西门,西华门,北海,西板桥,景山后街,地安门内,鼓楼,铸钟厂,德内甘水桥,果子市,德胜门,德胜门外,德外关厢,马甸桥南,马甸桥东,安华桥西(东行),安华桥西(西行),裕民中路南口,裕民中路,地铁北土城站,北土城公交场站"
北京6路公交车路线 龙潭公园—六里桥东,"龙潭公园,北京体育馆,北京体育馆西,法华寺,红桥路口西,天坛北门,金鱼池,天桥路口东,友谊医院东,永安路,虎坊桥路口西,果子巷,菜市口西,牛街路口西,广安门内,广外关厢,达官营,广外甘石桥,湾子,莲花池,六里桥东"
北京7路公交车路线 五间楼—动物园枢纽站,"五间楼,贾家花园,赵公口桥南,定安路,琉璃井,安乐林,沙子口东,永定门内,先农坛,天桥,友谊医院东,虎坊桥路口南,琉璃厂,和平门外,宣武门东,长椿街路口北,新文化街西口,太平桥,辟才胡同,丰盛胡同,白塔寺,报子胡同,祖家街,宝产胡同,新开胡同,西直门内,西直门外,动物园枢纽站"
北京8路公交车路线 北京华侨城—前门,"北京华侨城,金蝉南路西口,北京华侨城北站,金蝉北里,垡头桥西,北京工业大学南门,松榆东里南门,松榆里,武圣路,武圣东里,农光东里,劲松桥东,劲松中街,光明桥东,龙潭湖,龙潭路,北京体育馆,幸福大街,幸福大街北口,培新街,安化楼,白桥大街,东花市大街,小市口,羊市口,崇文门西,正义路,前门东,前门"
北京9路公交车路线 金台路—金家村桥东,"金台路,水碓路口南,小庄路口北,呼家楼南,光华桥南,大北窑西,永安里路口西,日坛路,北京站东,崇文门西,台基厂路口西,正义路,前门东,前门西,北京供电局,和平门东,宣武门西,长椿街路口东,长椿街路口西,天宁寺桥西,白云桥西,小马厂,北京西站,莲花小区,金家村桥东"
北京10路公交车路线 南菜园—航天桥东,"南菜园,白纸坊路口西,南樱桃园路口北,牛街南口,牛街礼拜寺,牛街,宣武医院,槐柏树街东口,长椿街路口北,新文化街西口,民族文化宫,复兴门内,南礼士路,三里河东路南口,月坛南街南站,月坛南街北站,月坛北街北站,阜外西口,甘家口西,白堆子口东,马神庙,航天桥东"
